model, num_timeseries, train_time, inference_time, train_time_per_series, inference_time_per_series, timestamp
NHITS, 20, 19.2407, 0.1248, 0.9620, 0.0062, 2024-10-22 08:01:31
PatchTST, 20, 30.4429, 0.1574, 1.5221, 0.0079, 2024-10-22 08:27:41
DeepAR, 20, 38.3008, 0.2885, 1.9150, 0.0144, 2024-10-22 08:41:43
TimesNet, 20, 281.3787, 1.0413, 14.0689, 0.0521, 2024-10-22 09:00:52
Chronos-small, 20, 2.0375, 10.4695, 0.1019, 0.5235, 2024-10-22 12:58:53
Chronos-large, 20, 4.8342, 68.1476, 0.2417, 3.4074, 2024-10-22 13:45:53
Chronos-small, 32000, 2.3802, 75.3137, 0.0001, 0.0024, 2024-10-23 07:50:17
Chronos-large, 32000, 2.4080, 92.8575, 0.0001, 0.0029, 2024-10-23 07:57:42
NHITS, 32000, 107.0124, 0.6022, 0.0033, 0.0000, 2024-10-23 08:06:03
PatchTST, 32000, 188.7171, 0.3832, 0.0059, 0.0000, 2024-10-23 08:10:54
DeepAR, 32000, 242.2878, 1.2657, 0.0076, 0.0000, 2024-10-23 08:16:33
TimesNet, 32000, 1221.8327, 0.7059, 0.0382, 0.0000, 2024-10-23 08:51:29
DeepAR, 32000, 245.1995, 1.2664, 0.0077, 0.0000, 2024-10-23 17:39:37
Chronos-FT, 277, 3.9627, 29.5150, 0.0143, 0.1066, 2024-10-30 12:23:05
Chronos-large, 32000, 2.7144, 141.3681, 0.0001, 0.0044, 2024-10-30 12:39:03
Chronos-small, 277, 2.4831, 17.5350, 0.0090, 0.0633, 2024-10-30 12:58:41
Chronos-large, 277, 2.2985, 79.2564, 0.0083, 0.2861, 2024-10-30 13:10:27
Chronos-FT, 277, 0.2077, 18.9164, 0.0007, 0.0683, 2024-10-30 13:13:48
NHITS, 277, 100.6762, 0.3879, 0.3635, 0.0014, 2024-10-30 13:57:04
PatchTST, 277, 184.2117, 0.5483, 0.6650, 0.0020, 2024-10-30 14:13:41
TimesNet, 277, 1264.8497, 0.5834, 4.5662, 0.0021, 2024-10-30 14:35:43
DeepAR, 277, 243.7392, 1.3235, 0.8799, 0.0048, 2024-10-30 14:40:44
Chronos-FT, 277, 2.3629, 18.6639, 0.0085, 0.0674, 2024-10-30 16:52:03
